id,student_id,worksheet_id,question_id,question_num,mistake_id,mistake_description,mistake_value,difficulty_level,topic_code1,topic_code2,subtopic_code1,subtopic_code2,sub_subtopic_code1,sub_subtopic_code2
,,,,1,1,Conceptual,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,2,1,Conceptual,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,3,1,Conceptual,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,4,1,Conceptual,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,5,1,Conceptual,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,6,1,Conceptual,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,7,1,Conceptual,0,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,8,1,Conceptual,0,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,9,1,Conceptual,0,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,10,1,Conceptual,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,11,1,Conceptual,0,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,12,1,Conceptual,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,13,1,Conceptual,0,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,14,1,Conceptual,0,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,15,1,Conceptual,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
,,,,1,2,Careless,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,2,2,Careless,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,3,2,Careless,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,4,2,Careless,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,5,2,Careless,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,6,2,Careless,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,7,2,Careless,0,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,8,2,Careless,0,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,9,2,Careless,0,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,10,2,Careless,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,11,2,Careless,0,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,12,2,Careless,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,13,2,Careless,0,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,14,2,Careless,1,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,15,2,Careless,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
,,,,1,3,Presentation,0,Basic,P0.1.0,1,P0.1.4,4,P3.1.2,42
,,,,2,3,Presentation,0,Basic,P0.1.0,1,P0.1.7,7,P5.2.2,127
,,,,3,3,Presentation,0,Basic,P0.2.0,2,P0.2.6,14,P5.4.2,132
,,,,4,3,Presentation,0,Basic,P0.9.0,9,P0.9.1,38,P5.6.4,143
,,,,5,3,Presentation,0,Basic,P0.3.0,3,P0.3.1,16,P2.6.5,24
,,,,6,3,Presentation,0,Basic,P0.2.0,2,P0.2.3,11,P3.4.3,53
,,,,7,3,Presentation,0,Basic,P0.7.0,7,P0.7.4,33,P5.10.1,158
,,,,8,3,Presentation,0,Basic,P0.5.0,5,P0.5.3,21,P5.11.3,166
,,,,9,3,Presentation,0,Basic,P0.5.0,5,P0.5.6,24,P4.14.3,121
,,,,10,3,Presentation,0,Basic,P0.8.0,8,P0.8.3,36,P4.9.2,104
,,,,11,3,Presentation,0,Intermediate,P0.2.0,2,P0.2.6,14,P5.4.6,136
,,,,12,3,Presentation,0,Basic,P0.6.0,6,P0.6.2,28,P3.12.3,77
,,,,13,3,Presentation,0,Intermediate,P0.10.0,10,P0.10.1,39,P5.7.3,147
,,,,14,3,Presentation,0,Intermediate,P0.2.0,2,P0.2.3,11,P3.4.2,52
,,,,15,3,Presentation,0,Intermediate,P0.1.0,1,P0.1.6,6,P4.2.3,86
